accession;gtdb_taxonomy;lsu_silva_23s_taxonomy;ncbi_organism_name;ncbi_taxonomy;ssu_silva_taxonomy
46300;GCF_000013505.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes MGAS10270;Streptococcus pyogenes;Streptococcus pyogenes
72528;GCF_000013545.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes MGAS10750;Streptococcus pyogenes;Streptococcus pyogenes
61044;GCF_000018125.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes NZ131;Streptococcus pyogenes;Streptococcus phage NZ131.3
119545;GCF_000230295.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes Alab49;Streptococcus pyogenes;Streptococcus pyogenes
142593;GCF_000250905.1;Streptococcus pyogenes;Streptococcus pyogenes MGAS1882;Streptococcus pyogenes MGAS15252;Streptococcus pyogenes;Streptococcus pyogenes
61300;GCF_000250925.1;Streptococcus pyogenes;Streptococcus pyogenes MGAS1882;Streptococcus pyogenes MGAS1882;Streptococcus pyogenes;Streptococcus pyogenes
58852;GCF_000307535.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes A20;Streptococcus pyogenes;Streptococcus pyogenes
17198;GCF_000349925.2;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes M1 476;Streptococcus pyogenes;Streptococcus pyogenes M1 476
69870;GCF_000422045.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes HSC5;Streptococcus pyogenes;Streptococcus pyogenes
109216;GCF_000732425.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes STAB902;Streptococcus pyogenes;Streptococcus pyogenes
136278;GCF_000743015.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
124852;GCF_000756485.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
36096;GCF_000767505.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
23471;GCF_000772185.1;Streptococcus pyogenes;Streptococcus pyogenes HKU QMH11M0907901;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
4393;GCF_000772245.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
111011;GCF_000993765.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
68733;GCF_001014285.1;Streptococcus pyogenes;Streptococcus pyogenes GA19681;Streptococcus pyogenes JRS4;Streptococcus pyogenes;Streptococcus pyogenes MGAS10394
23458;GCF_001014305.1;Streptococcus pyogenes;Streptococcus pyogenes GA19681;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes MGAS10394
47750;GCF_001019635.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
48811;GCF_001019675.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
45631;GCF_001019695.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
6163;GCF_001020185.2;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
52007;GCF_001021955.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
59845;GCF_001023495.1;Streptococcus pyogenes;Streptococcus pyogenes HKU QMH11M0907901;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
111563;GCF_001039695.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
7800;GCF_001051095.1;Streptococcus pyogenes;Streptococcus pyogenes ABC020021452;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
50971;GCF_001267805.1;Streptococcus pyogenes;Streptococcus pyogenes MGAS1882;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
66480;GCF_001267845.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
6294;GCF_001535565.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
12651;GCF_001547715.1;Streptococcus pyogenes;Streptococcus pyogenes GA19681;Streptococcus pyogenes JRS4;Streptococcus pyogenes;Streptococcus pyogenes MGAS10394
86748;GCF_001547835.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
62263;GCF_001559175.2;Streptococcus pyogenes;Streptococcus pyogenes ABC020021452;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
5936;GCF_001620285.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
98871;GCF_001635895.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
57823;GCF_001635935.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
110628;GCF_001635975.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
12457;GCF_001638845.2;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
131614;GCF_001678885.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
135551;GCF_002055535.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
103964;GCF_002163545.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
128350;GCF_002236855.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
120134;GCF_002236875.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
98784;GCF_002238295.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
127697;GCF_002238315.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
91188;GCF_002355175.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
58425;GCF_002355815.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
59034;GCF_002557755.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
69507;GCF_002844355.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
67162;GCF_003025365.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
96969;GCF_003203475.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
97615;GCF_900474455.1;Streptococcus pyogenes;Streptococcus pyogenes ATCC 10782;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
133236;GCF_900474645.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
394;GCF_900474745.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
81648;GCF_900474765.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
14606;GCF_900474775.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
48391;GCF_900474795.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
82722;GCF_900474815.1;Streptococcus pyogenes;Streptococcus pyogenes HKU QMH11M0907901;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
82062;GCF_900474825.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
135677;GCF_900474835.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
12558;GCF_900474845.1;Streptococcus pyogenes;Streptococcus pyogenes GA19702;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
113970;GCF_900474855.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes MGAS10394
100844;GCF_900474865.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
17263;GCF_900474885.1;Streptococcus pyogenes;Streptococcus pyogenes GA03747;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
13698;GCF_900474895.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
106845;GCF_900474915.1;Streptococcus pyogenes;Streptococcus pyogenes MGAS1882;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
109163;GCF_900474925.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
42663;GCF_900474935.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
56566;GCF_900474945.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
111436;GCF_900474955.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
16305;GCF_900474965.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
23012;GCF_900474975.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
25404;GCF_900474995.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
131601;GCF_900475005.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
65068;GCF_900475035.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
133696;GCF_900475075.1;Streptococcus pyogenes;Streptococcus pyogenes ATCC 10782;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
91919;GCF_900475085.1;Streptococcus pyogenes;Streptococcus pyogenes GA40884;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
74436;GCF_900475105.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
5527;GCF_900475115.1;Streptococcus pyogenes;Streptococcus pyogenes GA40634;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
98013;GCF_900475135.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
90986;GCF_900475155.1;Streptococcus pyogenes;Streptococcus phage NZ131.3;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
110812;GCF_900475165.1;Streptococcus pyogenes;Streptococcus pyogenes GA19681;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
34224;GCF_900475175.1;Streptococcus pyogenes;Streptococcus pyogenes GA40884;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
115503;GCF_900475335.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
49224;GCF_900475425.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
99667;GCF_900475455.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
74028;GCF_900475465.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
93632;GCF_900475475.1;Streptococcus pyogenes;Streptococcus pyogenes GA40884;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
32825;GCF_900475485.1;Streptococcus pyogenes;Streptococcus pyogenes GA19681;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
72284;GCF_900475495.1;Streptococcus pyogenes;Streptococcus pyogenes GA19702;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
132328;GCF_900475525.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
108673;GCF_900475565.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
30952;GCF_900475615.1;Streptococcus pyogenes;Streptococcus pyogenes GA19681;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
81720;GCF_900475645.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
13539;GCF_900475705.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
83939;GCF_900475765.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
98875;GCF_900475785.1;Streptococcus pyogenes;Streptococcus pyogenes MGAS1882;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
108177;GCF_900475795.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
46346;GCF_900475865.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
73808;GCF_900475875.1;Streptococcus pyogenes;Streptococcus pyogenes GA40884;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
95864;GCF_900475925.1;Streptococcus pyogenes;Streptococcus pyogenes ATCC 10782;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
68489;GCF_900475955.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
125117;GCF_900475985.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
11200;GCF_900476015.1;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes;Streptococcus pyogenes
37165;GCF_000164675.2;Streptococcus parasanguinis;Streptococcus parasanguinis ATCC 15912;Streptococcus parasanguinis ATCC 15912;Streptococcus parasanguinis;Streptococcus parasanguinis ATCC 15912
31358;GCF_000262145.1;Streptococcus parasanguinis;Streptococcus parasanguinis FW213;Streptococcus parasanguinis FW213;Streptococcus parasanguinis;Streptococcus parasanguinis ATCC 15912
54460;GCF_002073795.1;Streptococcus agalactiae;Streptococcus agalactiae;Streptococcus sp. 'group B';Streptococcus sp.;Streptococcus agalactiae LDS 628
22760;GCF_900187245.1;Streptococcus hyovaginalis;Streptococcus dysgalactiae subsp. equisimilis SK1250;Streptococcus acidominimus;Streptococcus acidominimus;uncultured bacterium
61613;GCF_000463465.1;Streptococcus anginosus;Streptococcus anginosus C1051;Streptococcus anginosus C1051;Streptococcus anginosus;Streptococcus anginosus C1051
12076;GCF_000463505.1;Streptococcus anginosus;Streptococcus anginosus C238;Streptococcus anginosus C238;Streptococcus anginosus;Streptococcus anginosus C238
109408;GCF_000478925.1;Streptococcus anginosus;Streptococcus anginosus subsp. whileyi MAS624;Streptococcus anginosus subsp. whileyi MAS624;Streptococcus anginosus;Streptococcus anginosus subsp. whileyi MAS624
93477;GCF_000831165.1;Streptococcus anginosus_C;Streptococcus anginosus;Streptococcus anginosus;Streptococcus anginosus;Streptococcus anginosus
6292;GCF_001412635.1;Streptococcus anginosus;Streptococcus anginosus C1051;Streptococcus anginosus;Streptococcus anginosus;Streptococcus anginosus C1051
32570;GCF_000010705.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1250;Streptococcus dysgalactiae subsp. equisimilis GGS_124;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis GGS_124
133672;GCF_000188715.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1249;Streptococcus dysgalactiae subsp. equisimilis ATCC 12394;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
107967;GCF_000307185.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1249;Streptococcus dysgalactiae subsp. equisimilis RE378;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis RE378
60468;GCF_000317855.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis AC-2713;Streptococcus dysgalactiae subsp. equisimilis AC-2713;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis AC-2713
138409;GCF_900474785.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis 167;Streptococcus dysgalactiae subsp. equisimilis;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis RE378
129870;GCF_900475145.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1250;Streptococcus dysgalactiae subsp. equisimilis;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis RE378
47748;GCF_900475185.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1249;Streptococcus dysgalactiae subsp. equisimilis;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
101127;GCF_900475255.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1250;Streptococcus dysgalactiae subsp. equisimilis;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis RE378
49511;GCF_900475725.1;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis SK1249;Streptococcus dysgalactiae subsp. equisimilis;Streptococcus dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
23088;GCF_002073515.1;Streptococcus sp001556435;Streptococcus salivarius K12;Streptococcus equinus;Streptococcus equinus;Streptococcus salivarius
29379;GCF_000020765.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY;Streptococcus equi subsp. zooepidemicus MGCS10565;Streptococcus equi;Streptococcus equi subsp. zooepidemicus Sz35
14139;GCF_000026605.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus;Streptococcus equi subsp. zooepidemicus;Streptococcus equi;Streptococcus equi subsp. zooepidemicus
80979;GCF_000219765.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY;Streptococcus equi subsp. zooepidemicus ATCC 35246;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY
89661;GCF_000696505.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY;Streptococcus equi subsp. zooepidemicus CY;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY
963;GCF_900474805.1;Streptococcus equi;Streptococcus equi subsp. ruminatorum CECT 5772;Streptococcus equi subsp. zooepidemicus;Streptococcus equi;Streptococcus equi subsp. zooepidemicus Sz12is
95185;GCF_900474875.1;Streptococcus equi;Streptococcus equi subsp. ruminatorum CECT 5772;Streptococcus equi subsp. zooepidemicus;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY
73629;GCF_900475125.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY;Streptococcus equi subsp. zooepidemicus;Streptococcus equi;Streptococcus equi subsp. zooepidemicus Sz35
115625;GCF_900475295.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY;Streptococcus equi subsp. zooepidemicus;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY
122379;GCF_900475435.1;Streptococcus equi;Streptococcus equi subsp. zooepidemicus Sz4is;Streptococcus equi subsp. zooepidemicus;Streptococcus equi;Streptococcus equi subsp. zooepidemicus CY
136049;GCF_000306805.1;Streptococcus intermedius;Streptococcus intermedius ATCC 27335;Streptococcus intermedius JTH08;Streptococcus intermedius;Streptococcus intermedius
64871;GCF_000463355.1;Streptococcus intermedius;Streptococcus intermedius B196;Streptococcus intermedius B196;Streptococcus intermedius;Streptococcus intermedius
41327;GCF_000463385.1;Streptococcus intermedius;Streptococcus intermedius C270;Streptococcus intermedius C270;Streptococcus intermedius;Streptococcus intermedius C270
132270;GCF_002073355.2;Streptococcus intermedius;Streptococcus intermedius BA1;Streptococcus intermedius;Streptococcus intermedius;Streptococcus intermedius
115224;GCF_002356055.1;Streptococcus intermedius;Streptococcus intermedius BA1;Streptococcus intermedius;Streptococcus intermedius;Streptococcus intermedius
100333;GCF_900475975.1;Streptococcus intermedius;Streptococcus intermedius ATCC 27335;Streptococcus intermedius;Streptococcus intermedius;Streptococcus intermedius
89450;GCF_900475415.1;Streptococcus porcinus;Streptococcus porcinus;Streptococcus porcinus;Streptococcus porcinus;Streptococcus porcinus str. Jelinkova 176
49368;GCF_900475025.1;Streptococcus ferus;Streptococcus sp. I-G2;Streptococcus ferus;Streptococcus ferus;Streptococcus ferus
92368;GCF_000831485.1;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae
23288;GCF_001885145.1;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae
67361;GCF_002220115.1;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae
1153;GCF_002787125.1;Streptococcus iniae;Streptococcus iniae SF1;Streptococcus iniae;Streptococcus iniae;Streptococcus iniae
70566;GCF_000213825.1;Streptococcus parauberis;Streptococcus parauberis KCTC 11537;Streptococcus parauberis KCTC 11537;Streptococcus parauberis;Streptococcus parauberis
22947;GCF_002900385.1;Streptococcus parauberis;Streptococcus parauberis KCTC 11980BP;Streptococcus parauberis;Streptococcus parauberis;Streptococcus parauberis
135181;GCF_000009545.1;Streptococcus uberis;Streptococcus uberis 0140J;Streptococcus uberis 0140J;Streptococcus uberis;Streptococcus uberis 0140J
80340;GCF_002814135.1;Streptococcus uberis;Streptococcus uberis 0140J;Streptococcus uberis;Streptococcus uberis;Streptococcus uberis 0140J
11255;GCF_900475595.1;Streptococcus uberis;Streptococcus hongkongensis;Streptococcus uberis;Streptococcus uberis;Streptococcus uberis 0140J
79074;GCF_900475695.1;Streptococcus uberis;Streptococcus uberis 0140J;Streptococcus uberis;Streptococcus uberis;Streptococcus uberis 0140J
76896;GCF_000027165.1;Streptococcus mitis_AR;Streptococcus mitis B6;Streptococcus mitis B6;Streptococcus mitis;Streptococcus mitis B6
73729;GCF_001281025.1;Streptococcus mitis_AK;Streptococcus mitis 27/7;Streptococcus mitis;Streptococcus mitis;Streptococcus mitis 21/39
2238;GCF_001560895.1;Streptococcus mitis_Q;Streptococcus mitis 17/34;Streptococcus mitis;Streptococcus mitis;Streptococcus mitis B6
140818;GCF_000385925.1;Streptococcus cristatus_B;Streptococcus oligofermentans AS 1.3089;Streptococcus cristatus AS 1.3089;Streptococcus cristatus;Streptococcus oligofermentans AS 1.3089
90837;GCF_900475445.1;Streptococcus cristatus;Streptococcus cristatus ATCC 51100;Streptococcus cristatus ATCC 51100;Streptococcus cristatus;Streptococcus cristatus ATCC 51100
122579;GCF_900478185.1;Streptococcus cristatus_B;Streptococcus oligofermentans AS 1.3089;Streptococcus cristatus;Streptococcus cristatus;Streptococcus oligofermentans AS 1.3089
117174;GCF_000283635.1;Streptococcus macedonicus;Streptococcus macedonicus ACA-DC 198;Streptococcus macedonicus ACA-DC 198;Streptococcus macedonicus;Streptococcus gallolyticus subsp. macedonicus
128180;GCF_000463395.1;Streptococcus constellatus;Streptococcus constellatus subsp. pharyngis C232;Streptococcus constellatus subsp. pharyngis C232;Streptococcus constellatus;Streptococcus constellatus
79763;GCF_000463425.1;Streptococcus constellatus;Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377;Streptococcus constellatus subsp. pharyngis C1050;Streptococcus constellatus;Streptococcus constellatus
98395;GCF_000463445.1;Streptococcus constellatus;Streptococcus constellatus subsp. pharyngis C232;Streptococcus constellatus subsp. pharyngis C818;Streptococcus constellatus;Streptococcus constellatus
65624;GCF_002953735.1;Streptococcus pluranimalium;Streptococcus iniae;Streptococcus pluranimalium;Streptococcus pluranimalium;Streptococcus pluranimalium
87972;GCF_000246835.1;Streptococcus infantarius;Streptococcus infantarius subsp. infantarius CJ18;Streptococcus infantarius subsp. infantarius CJ18;Streptococcus infantarius;Streptococcus infantarius subsp. infantarius CJ18
1585;GCF_001477615.1;Streptococcus lutetiensis;Streptococcus lutetiensis 033;Streptococcus infantarius;Streptococcus infantarius;Streptococcus equinus
58632;GCF_900476055.1;Streptococcus australis;Streptococcus australis ATCC 700641;Streptococcus australis;Streptococcus australis;Streptococcus australis ATCC 700641
142667;GCF_000441535.1;Streptococcus lutetiensis;Streptococcus lutetiensis 033;Streptococcus lutetiensis 033;Streptococcus lutetiensis;Streptococcus equinus
43937;GCF_900475065.1;Streptococcus lutetiensis;Streptococcus lutetiensis 033;Streptococcus lutetiensis;Streptococcus lutetiensis;Streptococcus equinus
93242;GCF_900475675.1;Streptococcus lutetiensis;Streptococcus lutetiensis 033;Streptococcus lutetiensis;Streptococcus lutetiensis;Streptococcus equinus
115728;GCF_000270165.1;Streptococcus pasteurianus;Streptococcus pasteurianus ATCC 43144;Streptococcus pasteurianus ATCC 43144;Streptococcus pasteurianus;Streptococcus equinus ATCC 700338
61850;GCF_900478025.1;Streptococcus pasteurianus;Streptococcus pasteurianus ATCC 43144;Streptococcus pasteurianus;Streptococcus pasteurianus;Streptococcus equinus ATCC 700338
36464;GCF_000221985.1;Streptococcus pseudopneumoniae;Streptococcus pseudopneumoniae IS7493;Streptococcus pseudopneumoniae IS7493;Streptococcus pseudopneumoniae;Streptococcus pseudopneumoniae IS7493
22912;GCF_000027185.1;Streptococcus gallolyticus;Streptococcus gallolyticus subsp. gallolyticus TX20005;Streptococcus gallolyticus UCN34;Streptococcus gallolyticus;Streptococcus gallolyticus subsp. gallolyticus
14881;GCF_000203195.1;Streptococcus gallolyticus;Streptococcus gallolyticus subsp. gallolyticus TX20005;Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069;Streptococcus gallolyticus;Streptococcus gallolyticus subsp. gallolyticus
49297;GCF_000270145.1;Streptococcus gallolyticus;Streptococcus gallolyticus subsp. gallolyticus TX20005;Streptococcus gallolyticus subsp. gallolyticus ATCC 43143;Streptococcus gallolyticus;Streptococcus gallolyticus subsp. gallolyticus
